Keyword,Location,Job_title,Job_link,Company,Company_link,Job_location,Post_time,Applicants_count,Job_description,Seniority_level,Employment_type,Job_function,Industries
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-at-touchtunes-3570818334?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=Q3fN%2Be6WJS1sgjvZzq9IVw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                TouchTunes
              ",https://www.linkedin.com/company/touchtunes-interactive-networks?trk=public_jobs_topcard-org-name,"
              Montreal, Quebec, Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 weeks ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        Hybrid Montreal tech hub📌 Your mission in the Data Science team:You will help facilitate data-driven decision-making and organize how to best implement analytics product management and product development decision s by pulling together data and analytics from multiple sources and showcasing them to allow the team to measure growth in revenue, net contribution, and customer satisfaction.🚀 Our stack: Cloud: AWS  Analytics: Mixpanel  Pipeline: Databricks/Spark  Visualization: Tableau, PowerBI  Database: SQL 🔍 Your profile : At least 2 years in a product analytics, product management or data analytic role  Experience writing specs  Experience with analytical tools like Mixpanel , Localytics , or equivalent  Experience with big data platforms and Cloud platforms 💡 Your edge: Experience with Python  Experience with SQL  Experience with Data visualization ❤️ Our perks: Flexwork : Hybrid WFH-office environment and work anywhere around the globe up to 3months/year  Learning: Free Udemy access, ability to attend conferences in your field of your choice!  Health: Competitive health insurance, Dialogue app and unlimited sick days  Commute: 50% off OPUS and EXO train  Office: Office accessible to people with disabilities  Etc.: RRSP matching, Life/LT/ST Disability coverage, Weekly free lunch and healthy snacks, TouchTunes Culture Collective Community 🎵 TouchTunesFound at over 65,000 bars, restaurants and other social venues across North America and Europe, TouchTunes is bringing people together with fun, interactive music and entertainment solutions, enhancing the way people interact with each other and their environment. Our native mobile app s and jukes are seen and heard by millions daily across the TouchTunes network and community.We firmly believe that our team should be as diverse as the music we listen to.🌈 TouchTunes is a proud ally of QueerTec h .Apply Now
      ","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Entertainment Providers
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-at-linkus-group-3583026942?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=lwKAltgCK27Wyh%2FYQEghNw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Linkus Group
              ",https://ca.linkedin.com/company/the-linkus-group-inc.?trk=public_jobs_topcard-org-name,"
              Ontario, Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 month ago
  
      ","
          147 applicants
        ","Looking for a Junior Data Analyst to join one of Toronto's up and coming PropTech companies. This start-up is creating an application for the Commercial Real Estate industry and their product helps clients find smart investment opportunities. The role is focused on market research, so a background in Real Estate would be an asset, and you will be doing Data Entry using Excel on a daily basis. The company offers a ton of growth and mentorship, so this is a great place to start!




Requirements




Experience with data entry
Strong Data Analysis skills
Extremely knowledgeable of Excel, especially with V-Lookup
Strong attention to detail is a MUST
Start-up experience is a huge asset
Comfortable working on a small team and autonomous environment
Ability to take ownership of work
Great communication skills
Ideally a university degree and other certifications




We thank all applicants for your interest, however, only qualified candidates will be contacted.","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Staffing and Recruiting
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-at-tailscale-3556816440?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=9qDdgaS8I4qJXgkPfBHL4w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Tailscale
              ",https://ca.linkedin.com/company/tailscale?trk=public_jobs_topcard-org-name,"
              Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 month ago
  
      ","
          
          
            Over 200 applicants
          
        ","We are looking for a Data Analyst to partner with our Marketing, Sales, Product and Operations teams, helping Tailscale make data-driven business decisions. In this role, you'll leverage your well-honed analytical skills, first principles problem solving, and business intuition across a variety of high-impact projects. You'll embed directly in marketing initiatives using data to help shape the future of our go-to-market strategy.

Your key responsibilities will include:

Breaking down complex problems to uncover actionable insights
Analyzing marketing data to identify trends, opportunities, and areas for improvement
Communicating and evangelizing data-driven insights to drive go-to-market strategy
Ensure that our data is trustworthy, reliable, and easy to access
Build cross-functional relationships with marketers, designers, engineers, and ops to ensure teams are using data thoughtfully and correctly
Contribute to our team and company data culture through peer collaboration, training, coaching and more


Ideally, you have:

2-3 years of relevant full-time work experience in a quantitative role across analytics, data science, product or consulting.
A first principles approach to solving complicated problems. You enjoy breaking down systems and finding root causes of issues.
Communication as a core strength. You can present actionable data-driven insights to any audience in a grokable format.
A solid analytical foundation. You can use SQL to query large datasets, have experience with A/B testing, and have strong analytical rigor.
A strong business intuition. You contextualize how insights fit into broader business goals and have a strong understanding of business metrics like acquisition, retention, engagement and monetization.
A belief that small empowered teams can do big things.
Insatiable curiosity as a key characteristic. You’re an incredibly fast learner and are able to deeply understand new topics and pick up new skills in a very short time.


It’s nice if you have:

Experience with alternatives to google analytics for marketing insights
Experience in developer tools markets
Experience in a product-led go-to-market motion
A well thought out position on what statistical methods to use in which scenarios
Experience with measuring incrementality


Please keep reading...

Research shows that candidates from underrepresented backgrounds often don't apply for roles if they don't meet all the criteria — unlike majority candidates meeting significantly fewer requirements.

We strongly encourage you to apply if you’re interested: we’d love to know how you can amplify our team with your unique experience!

About Tailscale

Tailscale builds software that makes it easy to connect and secure devices, no matter where they are. Every day, banks and multi-national companies use Tailscale to protect their corporate networks. Hobbyists and start-ups trust Tailscale to collaborate and share access to tooling. We're building a future for the Internet that's easy, small and safe, like it used to be. Founded in 2019 and fully distributed, we're backed by Accel, HeavyBit, and Uncork Capital.","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Software Development
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-at-diverse-lynx-3595166508?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=IzlvcIcNZa85xO1z36NvsA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Tailscale
              ",https://ca.linkedin.com/company/tailscale?trk=public_jobs_topcard-org-name,"
              Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 month ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        We are looking for a Data Analyst to partner with our Marketing, Sales, Product and Operations teams, helping Tailscale make data-driven business decisions. In this role, you'll leverage your well-honed analytical skills, first principles problem solving, and business intuition across a variety of high-impact projects. You'll embed directly in marketing initiatives using data to help shape the future of our go-to-market strategy.Your key responsibilities will include:Breaking down complex problems to uncover actionable insights Analyzing marketing data to identify trends, opportunities, and areas for improvement Communicating and evangelizing data-driven insights to drive go-to-market strategy Ensure that our data is trustworthy, reliable, and easy to access Build cross-functional relationships with marketers, designers, engineers, and ops to ensure teams are using data thoughtfully and correctly Contribute to our team and company data culture through peer collaboration, training, coaching and more Ideally, you have:2-3 years of relevant full-time work experience in a quantitative role across analytics, data science, product or consulting. A first principles approach to solving complicated problems. You enjoy breaking down systems and finding root causes of issues. Communication as a core strength. You can present actionable data-driven insights to any audience in a grokable format. A solid analytical foundation. You can use SQL to query large datasets, have experience with A/B testing, and have strong analytical rigor. A strong business intuition. You contextualize how insights fit into broader business goals and have a strong understanding of business metrics like acquisition, retention, engagement and monetization. A belief that small empowered teams can do big things. Insatiable curiosity as a key characteristic. You’re an incredibly fast learner and are able to deeply understand new topics and pick up new skills in a very short time. It’s nice if you have:Experience with alternatives to google analytics for marketing insights Experience in developer tools markets Experience in a product-led go-to-market motion A well thought out position on what statistical methods to use in which scenarios Experience with measuring incrementality Please keep reading...Research shows that candidates from underrepresented backgrounds often don't apply for roles if they don't meet all the criteria — unlike majority candidates meeting significantly fewer requirements.We strongly encourage you to apply if you’re interested: we’d love to know how you can amplify our team with your unique experience!About TailscaleTailscale builds software that makes it easy to connect and secure devices, no matter where they are. Every day, banks and multi-national companies use Tailscale to protect their corporate networks. Hobbyists and start-ups trust Tailscale to collaborate and share access to tooling. We're building a future for the Internet that's easy, small and safe, like it used to be. Founded in 2019 and fully distributed, we're backed by Accel, HeavyBit, and Uncork Capital.
      ","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Software Development
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-data-analytics-at-cardinal-health-3596086411?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=SgEDHOty6FgfYwiRoLP%2FOA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Tailscale
              ",https://ca.linkedin.com/company/tailscale?trk=public_jobs_topcard-org-name,"
              Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 month ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        We are looking for a Data Analyst to partner with our Marketing, Sales, Product and Operations teams, helping Tailscale make data-driven business decisions. In this role, you'll leverage your well-honed analytical skills, first principles problem solving, and business intuition across a variety of high-impact projects. You'll embed directly in marketing initiatives using data to help shape the future of our go-to-market strategy.Your key responsibilities will include:Breaking down complex problems to uncover actionable insights Analyzing marketing data to identify trends, opportunities, and areas for improvement Communicating and evangelizing data-driven insights to drive go-to-market strategy Ensure that our data is trustworthy, reliable, and easy to access Build cross-functional relationships with marketers, designers, engineers, and ops to ensure teams are using data thoughtfully and correctly Contribute to our team and company data culture through peer collaboration, training, coaching and more Ideally, you have:2-3 years of relevant full-time work experience in a quantitative role across analytics, data science, product or consulting. A first principles approach to solving complicated problems. You enjoy breaking down systems and finding root causes of issues. Communication as a core strength. You can present actionable data-driven insights to any audience in a grokable format. A solid analytical foundation. You can use SQL to query large datasets, have experience with A/B testing, and have strong analytical rigor. A strong business intuition. You contextualize how insights fit into broader business goals and have a strong understanding of business metrics like acquisition, retention, engagement and monetization. A belief that small empowered teams can do big things. Insatiable curiosity as a key characteristic. You’re an incredibly fast learner and are able to deeply understand new topics and pick up new skills in a very short time. It’s nice if you have:Experience with alternatives to google analytics for marketing insights Experience in developer tools markets Experience in a product-led go-to-market motion A well thought out position on what statistical methods to use in which scenarios Experience with measuring incrementality Please keep reading...Research shows that candidates from underrepresented backgrounds often don't apply for roles if they don't meet all the criteria — unlike majority candidates meeting significantly fewer requirements.We strongly encourage you to apply if you’re interested: we’d love to know how you can amplify our team with your unique experience!About TailscaleTailscale builds software that makes it easy to connect and secure devices, no matter where they are. Every day, banks and multi-national companies use Tailscale to protect their corporate networks. Hobbyists and start-ups trust Tailscale to collaborate and share access to tooling. We're building a future for the Internet that's easy, small and safe, like it used to be. Founded in 2019 and fully distributed, we're backed by Accel, HeavyBit, and Uncork Capital.
      ","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Software Development
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-at-diverse-lynx-3595166509?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=8dpGultURewfPjRmQ%2FDLUw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Diverse Lynx
              ",https://www.linkedin.com/company/diverselynx?trk=public_jobs_topcard-org-name,"
              Montreal, Quebec, Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 month ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","Job Description




Title : Data Analyst




Location : Montreal QC




Duration : Full-Time




Job Description




In this role, you would be part of the data analytics team in the Capital Markets domain. You will also need to interact with the other teams and stakeholders to tackle business problems, gather and report status of ongoing projects.




Responsibilities




Understand data requirements of the requestor
Interact with the requestor to handle any changes and updates to the request.
Do required analysis of the data set as required.
Work with the team on data projects to provide timely solutions.
Create and Visualize reports/analysis and share it with the stakeholders.




Qualifications




Minimum qualifications




Graduate




Preferred Qualifications




Good Python skills is a must.
Working knowledge of R is an added advantage.
Working knowledge of Tableau & Spotfire is an added advantage.
Good communication skills & highly proactive in approach.
Ability to manage & prioritize deliverables.
Ability to be learn and apply new processes and tools
Process orientated awareness of Lean Six Sigma.","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Software Development
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-at-the-university-of-british-columbia-3586159995?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=XENrMOdtC9NxGAEKkN%2FvFw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                The University of British Columbia
              ",https://ca.linkedin.com/company/universityofbc?trk=public_jobs_topcard-org-name,"
              Greater Vancouver Metropolitan Area
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      ","
          
          
            Over 200 applicants
          
        ","Staff - Non Union

Job Category

M&P - AAPS

Job Profile

AAPS Salaried - Institutional Analysis, Level A

Job Title

Data Analyst

Department

Project Management | Creative Destruction Labs | UBC Sauder School of Business

Compensation Range

$5,063.67 - $7,294.50 CAD Monthly

The Compensation Range is the span between the minimum and maximum base salary for a position. The midpoint of the range is approximately halfway between the minimum and the maximum and represents an employee that possesses full job knowledge, qualifications and experience for the position. In the normal course, employees will be hired, transferred or promoted between the minimum and midpoint of the salary range for a job.

Posting End Date

May 10, 2023

Note: Applications will be accepted until 11:59 PM on the day prior to the Posting End Date above.

Job End Date

At UBC, we believe that attracting and sustaining a diverse workforce is key to the successful pursuit of excellence in research, innovation, and learning for all faculty, staff and students. Our commitment to employment equity helps achieve inclusion and fairness, brings rich diversity to UBC as a workplace, and creates the necessary conditions for a rewarding career.

Job Summary

UBC Sauder School of Business is one of the world’s leading business faculties. The school consistently ranks among the top 100 in the world and is recognized internationally for excellence in research and learning, an outstanding faculty and unmatched global partnerships. A collaborative and respectful culture within which all members of our community can thrive is a key principle in our strategic plan, and one that underpins our educational mission.

We acknowledge that UBC Sauder at the Vancouver Campus is situated within the traditional, ancestral and unceded territory of the Musqueam. We acknowledge that UBC Sauder at the UBC Robson Square is situated on the traditional territory of the Musqueam, Squamish and Tsleil-Waututh.

The Creative Destruction Lab (CDL) is a nonprofit organization that delivers an objectives-based program for massively scalable, seed-stage, science- and technology-based companies with locations in Canada, USA, France and the UK. CDL-Vancouver is anchored at the UBC Sauder School of Business, supporting and contributing to the entire west coast innovation ecosystem in Canada and in the US.CDL-Vancouver works directly with start-up companies within the Climate, Compute, Biomedical Engineering, and Advanced Therapies (stream info). Read more.

CDL is a high priority and high-profile initiative for the UBC Sauder School of Business and UBC. Program outcomes can be expected to have a significant impact on UBC Sauder and UBC’s public profile and standing in the eyes of Universities, the startup & technology sector, and the general public in both Canada and the US.

The Data Analyst works to maintain and transform data into meaningful insights regarding stakeholder behavior, trends, and operational effectiveness and develops new reporting tools and data

visualizations and representations to advise CDL senior leadership and support data-driven decision-making.

The Data Analyst works extensively with Saleforce, Airtable and Google Drive and manages the data flow and interaction between these platforms. As the data management expert, the Data Analyst facilitates informed decisions on strategic action items and advances CDL-Vancouver priorities by performing qualitative and quantitative research, designing reporting systems, overseeing data collection and conducting analyses. The incumbent designs, develops and implements methods associated to this research.

Organizational Status

Reports to CDL’s Senior Project Manager. Works closely with the CDL Leadership team, Operations team, Partnerships team, and Venture Management team.

Work Performed

Collects, analyzes, interprets and extracts data. Works with complex datasets to research, analyze and prepare statistical reports on key findings.
Advises CDL leadership team, uses statistical analysis to evaluate progress towards strategic targets.
Creates regular reports on key performance indicators (KPIs) on a regular basis to track progress and success.
Conducts benchmarking research exercises and analysis to support CDL’s objectives.
Reorganizes and streamlines current databases to accurately synthesize reports, summaries, and dashboards to produce insights. Develops reporting schedule and creates and runs reports required for all levels of reporting.
Maintains data and develops data quality assessments on main databases to ensure its accuracy and suitability.
Recommends, develops, and implements process improvements to ensure the timely and accurate transfer of information into the CDL network-wide databases.
In consultation with the team, builds solutions to simplify CDL’s data infrastructure and data visualization tools to empower the team to access and leverage data independently.
Builds automations to reduce manual work while increasing efficiency and accuracy.
Manages key data collection and implements new processes to acquire and analyze information that has been identified as significant to the operation of the organization.
Contributes to the identification of CDL’s data needs and priorities for upgrades.
Educates the larger team on how to use the tools according to the improved processes (on an ongoing basis). Provides training and answers questions around data management from CDL employees.
Obtains and discloses confidential and sensitive information as appropriate, determining appropriate course of action, resolving details of unusual situations in the absence of established guidelines.
Provides technical documentation of all aspects of the data management process.
Performs other related duties.


Consequence of Error/Judgement

Responsible for providing accurate, potentially sensitive, and confidential information to other members of the team. Must respect the confidentiality of information handled.

Failure to exercise appropriate judgment could put the department in violation of privacy laws, increase direct costs, contribute to lost opportunities, damage the reputation of the university, and potentially negatively impact relationships and philanthropic support.

Supervision Received

Reports to CDL’s Senior Project Manager. Also takes direction from CDL’s Leadership team.

Supervision Given

None

Minimum Qualifications

Undergraduate degree in a relevant discipline. Minimum of two years of related experience, or the equivalent combination of education and experience.

Willingness to respect diverse perspectives, including perspectives in conflict with one’s own
Demonstrates a commitment to enhancing one’s own awareness, knowledge, and skills related to equity, diversity, and inclusion


Preferred Qualifications

A high degree of computer literacy and extensive experience with Microsoft 365 and Google Drive, in particular, demonstrated high-level proficiency with advanced Excel/Google Sheets functions (VLOOKUP, PivotTables, PowerPivot, etc.).
Proficiency with statistics, data cleaning, data mapping, data manipulation, and reporting.
Experience working with databases and CRMs, preferably Salesforce and Airtable.
Willing to learn the existing processes in place in order to propose improvements.
Intermediate coding skills to create solutions in Airtable Scripting Extension or alternative new solutions as the team’s needs evolve. (Candidates with basic knowledge but a strong desire to develop coding skills will be considered.)
Knowledge of Airtable Interfaces, Salesforce Dashboards, or any other data visualization software is strongly preferred.
Strong strategic thinking, analytical, and decision-making skills.
Ability to be thorough, accurate, and have a high level of attention to detail.
Technical documentation skills.
The ability to work as part of an integrated team in a fast-paced environment.
Excellent communication (oral and written), interpersonal, organizational, and time management skills.
Proactive, with demonstrated initiative and creative problem-solving skills.
Understanding of privacy, copyright, and data security best practices.
Proven quantitative research and analytical techniques with the ability to gather, evaluate and synthesize complex and large sets of data.","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Higher Education
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-at-gold-group-3583553181?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=qBQMLTkhMk03MSx4xJ%2B8Cg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Gold Group
              ",https://uk.linkedin.com/company/gold-group?trk=public_jobs_topcard-org-name,"
              Essex, Ontario, Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      ","
          93 applicants
        ","Great Baddow

Permanent

Brief

Data Analyst needed for a leading highways service provider based in the Great Baddow area who are looking to employ an experienced and knowledgeable Data Analyst to work alongside internal and external parties integral to improving the safety of Essex Roads. This is an exciting opportunity to be a part of a valuable project in the aim to reduce road traffic collisions in the Essex area.

What The Role Entails

As a Data Analyst you will be responsible for:

Delivering high-quality strategic intelligence to senior managers and partnership board members. This must influence and inform key choices made by the board to achieve organisational objectives and support effective resource allocation.
Identifying organisational information requirements and designing bespoke analytical approaches to meet these requirements, utilising opportunities for innovation at all stages of the process.
Conducting detailed analyses to provide insight into demographic, environmental and behavioural factors in road traffic collisions.
Data analysis tasks involve querying multiple large datasets, use of software to process and summarise data, and interpreting trends to draw logical inferences with due consideration to limitations in the data.
Communicating results of the analyses through meetings, presentations and written documents, making recommendations to support data-led and cost-effective interventions.
Working with the Assistant Analyst and colleagues in Essex Police to manage the data quality of collision records to ensure analysis is based on accurate information.
Collaborating with partners in regional and national organisations to identify best practice, improve performance and keep abreast of regional/national issues. Represent road safety data matters in regional and national forums.

What experience you need to be a successful Data Analyst:

Educated to degree level or experience working as a professional data analyst.
Knowledge and experience of using GIS and databases
Proficient computer user with a good knowledge of Microsoft packages.
Excellent interpretation skills with a good logical mindset.
Be able to work under minimal supervision, to attainable deadlines whilst being able to properly manage workload.
Excellent communication skills, with an ability to liaise with all different types of people at different levels.

This really is a fantastic opportunity for a Data Analyst to progress their career. If you are interested, please apply as soon as possible as this position will be filled quickly so don't miss out!

Please note that the Data Analyst will require vetting to NPPV-2 level and to work at times from Essex Police premises.

Services advertised by Gold Group are those of an Agency and/or an Employment Business.

We will contact you within the next 14 days if you are selected for interview. For a copy of our privacy policy please visit our website.","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Staffing and Recruiting
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/data-analyst-canadian-tire-corporation-at-canadian-tire-corporation-3575855951?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=vSgffur%2FGUHzqbYeh23fYg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Gold Group
              ",https://uk.linkedin.com/company/gold-group?trk=public_jobs_topcard-org-name,"
              Essex, Ontario, Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      ","
          93 applicants
        ","
        Great BaddowPermanentBriefData Analyst needed for a leading highways service provider based in the Great Baddow area who are looking to employ an experienced and knowledgeable Data Analyst to work alongside internal and external parties integral to improving the safety of Essex Roads. This is an exciting opportunity to be a part of a valuable project in the aim to reduce road traffic collisions in the Essex area.What The Role EntailsAs a Data Analyst you will be responsible for:Delivering high-quality strategic intelligence to senior managers and partnership board members. This must influence and inform key choices made by the board to achieve organisational objectives and support effective resource allocation.Identifying organisational information requirements and designing bespoke analytical approaches to meet these requirements, utilising opportunities for innovation at all stages of the process.Conducting detailed analyses to provide insight into demographic, environmental and behavioural factors in road traffic collisions.Data analysis tasks involve querying multiple large datasets, use of software to process and summarise data, and interpreting trends to draw logical inferences with due consideration to limitations in the data.Communicating results of the analyses through meetings, presentations and written documents, making recommendations to support data-led and cost-effective interventions.Working with the Assistant Analyst and colleagues in Essex Police to manage the data quality of collision records to ensure analysis is based on accurate information.Collaborating with partners in regional and national organisations to identify best practice, improve performance and keep abreast of regional/national issues. Represent road safety data matters in regional and national forums.What experience you need to be a successful Data Analyst:Educated to degree level or experience working as a professional data analyst.Knowledge and experience of using GIS and databasesProficient computer user with a good knowledge of Microsoft packages.Excellent interpretation skills with a good logical mindset.Be able to work under minimal supervision, to attainable deadlines whilst being able to properly manage workload.Excellent communication skills, with an ability to liaise with all different types of people at different levels.This really is a fantastic opportunity for a Data Analyst to progress their career. If you are interested, please apply as soon as possible as this position will be filled quickly so don't miss out!Please note that the Data Analyst will require vetting to NPPV-2 level and to work at times from Essex Police premises.Services advertised by Gold Group are those of an Agency and/or an Employment Business.We will contact you within the next 14 days if you are selected for interview. For a copy of our privacy policy please visit our website.
      ","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Staffing and Recruiting
          "
Data Analyst,Canada,Data Analyst,https://ca.linkedin.com/jobs/view/entry-level-virtual-data-entry-analyst-assistant-at-trioworld-3595602165?refId=uDedeab48eJljn0TmZmOkw%3D%3D&trackingId=z4J8KXVEvkDjR0FcM2OJQA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Gold Group
              ",https://uk.linkedin.com/company/gold-group?trk=public_jobs_topcard-org-name,"
              Essex, Ontario, Canada
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      ","
          93 applicants
        ","
        Great BaddowPermanentBriefData Analyst needed for a leading highways service provider based in the Great Baddow area who are looking to employ an experienced and knowledgeable Data Analyst to work alongside internal and external parties integral to improving the safety of Essex Roads. This is an exciting opportunity to be a part of a valuable project in the aim to reduce road traffic collisions in the Essex area.What The Role EntailsAs a Data Analyst you will be responsible for:Delivering high-quality strategic intelligence to senior managers and partnership board members. This must influence and inform key choices made by the board to achieve organisational objectives and support effective resource allocation.Identifying organisational information requirements and designing bespoke analytical approaches to meet these requirements, utilising opportunities for innovation at all stages of the process.Conducting detailed analyses to provide insight into demographic, environmental and behavioural factors in road traffic collisions.Data analysis tasks involve querying multiple large datasets, use of software to process and summarise data, and interpreting trends to draw logical inferences with due consideration to limitations in the data.Communicating results of the analyses through meetings, presentations and written documents, making recommendations to support data-led and cost-effective interventions.Working with the Assistant Analyst and colleagues in Essex Police to manage the data quality of collision records to ensure analysis is based on accurate information.Collaborating with partners in regional and national organisations to identify best practice, improve performance and keep abreast of regional/national issues. Represent road safety data matters in regional and national forums.What experience you need to be a successful Data Analyst:Educated to degree level or experience working as a professional data analyst.Knowledge and experience of using GIS and databasesProficient computer user with a good knowledge of Microsoft packages.Excellent interpretation skills with a good logical mindset.Be able to work under minimal supervision, to attainable deadlines whilst being able to properly manage workload.Excellent communication skills, with an ability to liaise with all different types of people at different levels.This really is a fantastic opportunity for a Data Analyst to progress their career. If you are interested, please apply as soon as possible as this position will be filled quickly so don't miss out!Please note that the Data Analyst will require vetting to NPPV-2 level and to work at times from Essex Police premises.Services advertised by Gold Group are those of an Agency and/or an Employment Business.We will contact you within the next 14 days if you are selected for interview. For a copy of our privacy policy please visit our website.
      ","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Staffing and Recruiting
          "
